instruction,input,output
Detect the sentiment of the tweet.,@p0nd3ea Bitcoin wasn't built to live on exchanges.,Positive
Detect the sentiment of the tweet.,@historyinflicks Buddy if I had whatever series of 19th diseases Bannon clearly has I'd want to be a bitcoin too.,Positive
Detect the sentiment of the tweet.,@eatBCH @Bitcoin @signalapp @myWickr @Samsung @tipprbot patience is truly a virtue,Neutral
Detect the sentiment of the tweet.,"@aantonop Even if Bitcoin crash tomorrow morning, the technology it’s still revolutionary. A way of simplifying it. #Ihavetobepartofthis",Neutral
Detect the sentiment of the tweet.,"I am experimenting whether I can live only with bit coins donated. Please cooperate.

3NKbfJuuMKzNMYMcLqCf5w8TgeGvue7A5 ##bitcoin #Donation",Positive
Detect the sentiment of the tweet.,@_Cryptosaur @TradeSatoshi yeah my bitcoin deposit not showing up... lets just hope it eventually does,Neutral
Detect the sentiment of the tweet.,"฿ value over 1 year: +792.65%, (+$7709.41) [Currently  $8682.015] #bitcoin",Neutral
Detect the sentiment of the tweet.,"Embrace the FUD.

That means more cheap coins for me and less dumb people in Bitcoin.

I'm playing the long game.",Negative
Detect the sentiment of the tweet.,"Fri Mar 23 01:41:52 2018 (0:11)
USD : 8712.93
Wght: 0.44
Blk#: 514742
Size: 124.4 KB
TXs:  208
Pool: 68 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,"#YABTCL - #Bitcoin #Lottery
Draw #701 - Winning Numbers: 03-10-16-18-46-62",Positive
Detect the sentiment of the tweet.,New #bitcoin block 000000000000000000451731d60b7b0bc228f26b7b946cf3c610d52839d4e61a mined at height 514741.,Positive
Detect the sentiment of the tweet.,New #bitcoin block 00000000000000000045b039632035f328a6dbbc05b69dbf562e103fb46bdf60 mined at height 514742.,Positive
Detect the sentiment of the tweet.,@Arab88612723 @marcdemesel BitcoinPlus is the real 2nd bitcoin,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"I am playing bitcoin trade, a loss of $ 300,000.
My life is over. #bitcoin #givemebitcoin #help

【BTC】
1PcXbdVubUPmy1xToYyjvho8rS #pleasert",Neutral
Detect the sentiment of the tweet.,"@CryptoShillNye HEY FUCK YOU, TRX IS NEXT BITCOIN BITCH.",Negative
Detect the sentiment of the tweet.,@NickSzabo4 Monopoly: Bitcoin Edition would be the least fun board game ever 😂,Negative
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token,Neutral
Detect the sentiment of the tweet.,Anybody that knows how to use bitcoin?,Neutral
Detect the sentiment of the tweet.,@CryptoCobain I want to be a big man can u plzzz give me free bitcoin?,Positive
Detect the sentiment of the tweet.,How do you lead a horse to water? With lots of carrots. #Proverb #bitcoin,Neutral
Detect the sentiment of the tweet.,"“SBI Bits has invested in more blockchain companies than Google.”-Jerry Chan

#bitcoincash #bitcoin #satoshivision conference",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"@GetCoinJar @boostjuiceoz Watermelon, pineapple and strawberries. Sometimes sweet then sour which is how Bitcoin markets are.",Positive
Detect the sentiment of the tweet.,@NickSzabo4 I understood Bitcoin consensus from soccer matches without referees yet we played with well set rules,Neutral
Detect the sentiment of the tweet.,@FaaipMusic I put 15k in bitcoin last month!,Neutral
Detect the sentiment of the tweet.,"@SSFCFOTY13 Yesterday I saw a guy with a license plate frame that said ""Bitcoin"" and his plate number was BTC.",Neutral
Detect the sentiment of the tweet.,@TechnicalCrypto Pretty sure we could have tested bitcoin over the last 10 or so years,Positive
Detect the sentiment of the tweet.,@DrawnActor @nvidia They told me to invest in bitcoin Kappa,Neutral
Detect the sentiment of the tweet.,@TalkingHat @stefapie all your Bitcoin are belong to us amirite guys,Neutral
Detect the sentiment of the tweet.,"2) whispered.
#bitcoin",Neutral
Detect the sentiment of the tweet.,"@kyletorpey In terms of casual use, dollars are known as bucks- pounds, quid etc. so calling Bitcoin Cash, bcash, isn’t a problem either",Negative
Detect the sentiment of the tweet.,"Fri Mar 23 01:49:23 2018 (7:31)
USD : 8694.09
Wght: 0.43
Blk#: 514743
Size: 341.1 KB
TXs:  868
Pool: 69 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,My Momma Called Me Asking For 2 Thousand Dollars Off Bitcoin 😂😂,Neutral
Detect the sentiment of the tweet.,"1 bitcoin = $8719.42 / 7077.117€
1 bitcoin-cash = $1016.99 / 825.439€
1 ethereum = $540.051 / 438.332€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,"Education can train, but cannot create intelligence. #EdwardMcChesneySait #bitcoin",Neutral
Detect the sentiment of the tweet.,New #bitcoin block 0000000000000000002fa5cee2ae556e0353f8090fa0d234a25d94c2bfb3e832 mined at height 514743.,Positive
Detect the sentiment of the tweet.,"#MAPS has 1 new tx
(📈 input: 0.00115192 BTC / 10.03 USD)
Final balance: 0.00115192 BTC / 10.03 USD
#donation #bitcoin #cryptopaymon 🤖🗿👍",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@AriseUniverse They probably use #BitCoin too,Neutral
Detect the sentiment of the tweet.,@Bitcoin Don't kid yourself. The rich will always control to some degree because they have the buying power...,Positive
Detect the sentiment of the tweet.,@Thomas1774Paine Bitcoin,Neutral
Detect the sentiment of the tweet.,Crypto shopping 🛒🛍 #crypto #bitcoin,Neutral
Detect the sentiment of the tweet.,Bitcoin cash,Neutral
Detect the sentiment of the tweet.,@caperthebard @stefapie You can buy ebaum's world merch with bitcoin,Neutral
Detect the sentiment of the tweet.,"@Billyisgreat123 LOL, obviously your clueless, bitcoin is good, just not as good as it once was",Positive
Detect the sentiment of the tweet.,#Crypto #retweet bot. Follow for everything crypto. What to get your content #retweeted follow and DM I want retweet. #bitcoin,Neutral
Detect the sentiment of the tweet.,imagine calling yourself the dude nextdoor screaming about Bitcoin on my timeline yikes,Neutral
Detect the sentiment of the tweet.,"@NickSzabo4 Every node, not just Trusted 3rd party nodes like some blockchains.  Bitcoin is KING! not just a pretender to the thrown.",Neutral
Detect the sentiment of the tweet.,"@kyletorpey I would go with dev, bcash is based on bitcoin code base for a reason",Negative
Detect the sentiment of the tweet.,ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token,Neutral
Detect the sentiment of the tweet.,@lopp @psycho_sage @naval Would this child understand Bitcoin as trustworthy and use it as peer to peer cash?,Neutral
Detect the sentiment of the tweet.,"@Blued0g420 @MisterFarbridge yeah for sure, many things are over priced in this space. #Bitcoin is not one of them however 😎",Positive
Detect the sentiment of the tweet.,"Thanks to my persistence, hard work and constant observation of the markets I could create this FX Robot. #Close #CFD #Bitcoin",Negative
Detect the sentiment of the tweet.,"THE MOST INNOVATIVE AND LUCRATIVE WAY TO EARN BITCOIN
JOIN BITCLUB NETWORK!!",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@QTRResearch What’s bitcoin doing though,Neutral
Detect the sentiment of the tweet.,Auggie velarde - bitcoin,Neutral
Detect the sentiment of the tweet.,Bitcoin is still early in the network effects game,Negative
Detect the sentiment of the tweet.,@Patatobear I got a bitcoin for yu in tarkov ovo,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Optimal tx fee: 0 satoshi per byte. 
BTC : $8694 / €7054 / £6161 @ Block 514743. 
Market Cap: 147.33B USD. #Bitcoin #ビットコイン",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,Current price of Bitcoin is $8681.47 #Bitcoin #Bithound,Neutral
Detect the sentiment of the tweet.,"฿ value over 1 year: +796%, (+$7741.95) [Currently  $8714.555] #bitcoin",Neutral
Detect the sentiment of the tweet.,"@tferriss You mean bitcoin, right?  C’mon this is a joke.",Negative
Detect the sentiment of the tweet.,Related Instagram tags for #cryptocurrency: #bitcoin #blockchain #crypto #ethereum #btc #litecoin #coinbase #trading #forex #ico #bitcoins,Neutral
Detect the sentiment of the tweet.,"Market Cap: $335,683,404,227.00
Bitcoin Dominance: 43.99 %
24H Volume: $14,688,906,280.00
$BTC #pampit #bogdanoff",Neutral
Detect the sentiment of the tweet.,Valores | dolar R$3.3019 | BITCOIN(MCDTBC) R$30499.00000000 | BITCOIN(BLCHAIN) R$28780.52 | LITECOIN(MCDTBC) R$577.10000000,Neutral
Detect the sentiment of the tweet.,Current price of Bitcoin is $8704.67,Neutral
Detect the sentiment of the tweet.,Bitcoin,Neutral
Detect the sentiment of the tweet.,"I respect shitcoin's right to exist.

Because all y'all ain't nothing more than Bitcoin testnets.

We will jack all your innovations.",Positive
Detect the sentiment of the tweet.,@crypToBanger Bitcoin 2013/2014?,Neutral
Detect the sentiment of the tweet.,Anyone else ever get that tingly feeling that we're part of something world-changing? #Bitcoin,Neutral
Detect the sentiment of the tweet.,"Bad news: Bitcoin on the decline.
Current Rate: 8680.62 USD = 1 BTC",Negative
Detect the sentiment of the tweet.,"@ #1, Bitcoin with unit price of $8,721.02, market cap of $147,683,819,562 (44.04%), and 24 hr vol. of $5,484,840,000 (37.48%)",Neutral
Detect the sentiment of the tweet.,"Mar 22, 2018 06:00PM #Bitcoin Price:
USD 8752.51 | EUR 7067.80 | JPY 936418.95",Neutral
Detect the sentiment of the tweet.,Two Hour Lull Update: CryptoCompare Bitcoin price: $8664.23 #bitcoin,Neutral
Detect the sentiment of the tweet.,"Average Bitcoin market price is: USD 8,675.33, EUR 7,046.78",Negative
Detect the sentiment of the tweet.,"Bitcoin:$8721.02
Ethereum:$540.487
Bitcoin Cash:$1017.03
Litecoin:$163.289
Ripple:$0.657819
IOTA:$1.33",Neutral
Detect the sentiment of the tweet.,Current BTC Dominance: 44.01% #Bitcoin #Altcoin #Cryptocurrency,Neutral
Detect the sentiment of the tweet.,"Bitcoin - BTC
Price: $8,721.02
Change in 1h: -0.14%
Market cap: $147,683,819,562.00
Ranking: 1
#Bitcoin #BTC",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"1 bitcoin = $8721.02 / 7078.415€
1 bitcoin-cash = $1017.03 / 825.472€
1 ethereum = $540.092 / 438.365€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,"1 bitcoin = $8721.02 / 7078.415€
1 bitcoin-cash = $1017.03 / 825.472€
1 ethereum = $540.092 / 438.365€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,"1 #BTC (#Bitcoin) quotes:
$8650.00/$8652.82 #Bitstamp
$8620.00/$8632.10 #Kraken
⇢$-32.82/$-17.90
$8598.93/$8685.36 #Coinbase
⇢$-53.89/$35.36",Neutral
Detect the sentiment of the tweet.,Install CryptoTab and mine Bitcoin! httpGet more than 1 BTC per month! Develop the network and get your rewardss://getcryptotab.com/422427,Positive
Detect the sentiment of the tweet.,#XEM Price is 0.00003374 (-0.00000011) #BTC / 0.292824 (-0.00112) #USD. Market rank is 13. #nem #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#ADA Price is 0.00002297 (-0.00000011) #BTC / 0.199412 (-0.00104) #USD. Market rank is 6. #cardano #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#DASH Price is 0.0474768 (-0.00029230) #BTC / 412.08 (-2.72100) #USD. Market rank is 12. #dash #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#SUB Price is 0.00004829 (+0.00000056) #BTC / 0.419721 (+0.00527) #USD. Market rank is 114. #substratum #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,#EOS Price is 0.00079116 (-0.00000373) #BTC / 6.86695 (-0.03540) #USD. Market rank is 7. #eos #bitcoin #blockchain,Negative
Detect the sentiment of the tweet.,"BTC hourly update
$8689.58    |    -0.0032%📉
$BTC #BTCUSD #Bitcoin",Neutral
Detect the sentiment of the tweet.,Current price of #Bitcoin is $8650.00,Neutral
Detect the sentiment of the tweet.,"Fri Mar 23 02:00:20 2018 (10:57)
USD : 8651.21
Wght: 0.43
Blk#: 514744
Size: 491.3 KB
TXs:  1165
Pool: 60 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,Curious about where $BTC stands? Bitcoin is $8650.00 Enjoy your day. ↕️,Positive
Detect the sentiment of the tweet.,#Bitcoin Price 8650.00 USD via Chain,Neutral
Detect the sentiment of the tweet.,"1,255 increase in MPI over sale of Bitcoin!!!!!!! (from this month over last month) Go! Go! Go!!",Neutral
Detect the sentiment of the tweet.,New #bitcoin block 0000000000000000000ddc396a7ed473727624a4e72287b0d9b45c8c6a1022c5 mined at height 514744.,Positive
Detect the sentiment of the tweet.,Current price of Bitcoin is $8650.00 “Like” if thats good for you and “retweet” if thats not good for you #bitcoin #btc #bitcoinprice,Positive
Detect the sentiment of the tweet.,Current price of Bitcoin is $8650.00,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@OTC_Bitcoin Will we see a 6k or lower bitcoin?,Neutral
Detect the sentiment of the tweet.,Current price of Bitcoin is $8650.00 #BTC,Neutral
Detect the sentiment of the tweet.,@freebitco hello i want to win bitcoin,Positive
Detect the sentiment of the tweet.,Bitcoin 8650.00 $,Neutral
Detect the sentiment of the tweet.,".Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@eskintan Thanks for supporting my art and #bitcoin brother!,Positive
Detect the sentiment of the tweet.,"Broke: Trying to identify and support young promising shitcoins.

Woke: Trying to identify and support  young promising Bitcoin talent.",Positive
Detect the sentiment of the tweet.,"@zerosum0x0 @sundhaug92 ""I hacked Bitcoin using this weird trick!""",Negative
Detect the sentiment of the tweet.,"Enough people agreed that something with no intrinsic value is a tradeable commodity, so now we have President Bitcoin. Is that it?",Neutral
Detect the sentiment of the tweet.,Really need my crypto to blow up so I can buy a bitcoin gat,Positive
Detect the sentiment of the tweet.,Current price of Bitcoin is $8650.00.,Neutral
Detect the sentiment of the tweet.,@TronNews_ Do you think trx will ever get rid off Bitcoin and become more steady?,Positive
Detect the sentiment of the tweet.,"""Bitcoin Core is a cult trapped in a world of platonic forms."" - @DanielKrawisz @Satoshis_Vision Conference",Negative
Detect the sentiment of the tweet.,"@GlennDuggan Exactly, I also only pay with bitcoin to avoid a paper trail.",Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@DepressionEcon And after bitcoin is done pumping. It’ll be our time lol,Positive
Detect the sentiment of the tweet.,Bitcoin daily looks like a retest of 8k is extremely likely $BTC $CRYPTO,Neutral
Detect the sentiment of the tweet.,"Bitcoin is my hedge. With the DJIA down 700+, if the global economy craps the bed in the next 10 years, Bitcoin will Rule...
#Bitcoin",Negative
Detect the sentiment of the tweet.,Hey... here's some TA or whatever... #bitcoin is going to go sideways for FUCKING EVER!!!!!!,Negative
Detect the sentiment of the tweet.,"I have 1,000 dollars in bitcoin and not afraid to use it",Positive
Detect the sentiment of the tweet.,BTC $8721.02 Down -$0.55 -0.01% in the last hour #bitcoin #bitsmart,Negative
Detect the sentiment of the tweet.,I want to learn!!! About Bitcoin,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"1 bitcoin = $8691.95 / 7054.821€
1 bitcoin-cash = $1014.12 / 823.11€
1 ethereum = $537.774 / 436.484€
#bitcoin #ethereum #bitcoincash",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Bitcoin BTC Current Price:
$8.716,300
1 Hour: -0.15 % | 24 Hours: -3.22 % | 7 Days: 5.95 %
#btc #bitcoin",Neutral
Detect the sentiment of the tweet.,"I used #bitcoin to buy headphones yesterday and they're gonna be here on Monday...
What a time to be alive.",Positive
Detect the sentiment of the tweet.,#Blockchain is the tech. #Bitcoin is merely the first mainstream manifestation of its potential. #freecoins,Negative
Detect the sentiment of the tweet.,"HOY 22/3/18 euro Bs 284.672,70 c.c.t(tranf) Bs 259.622,64
D.l.r bitcoin Bs258.889,58  today Bs 231.334,02",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,Drive Genuine Cryptocurrency bitcoin traffic for ICO for $5: Welcome to the best bitcoin website traffic Want to Get…,Positive
Detect the sentiment of the tweet.,"Bitcoin will be succesful long term if we worship a decentralized system, not a centralized leader.",Negative
Detect the sentiment of the tweet.,"@_Kevin_Pham how much did you invest to mine Bitcoin, Kevin ?",Positive
Detect the sentiment of the tweet.,@CNN sooo what you're saying is only buy #bitcoin that is #madeintheusa,Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"Fri Mar 23 02:13:32 2018 (13:12)
USD : 8623.96
Wght: 0.43
Blk#: 514745
Size: 550.9 KB
TXs:  1442
Pool: 34 (0.0 MB)
#bitcoin",Neutral
Detect the sentiment of the tweet.,"Current Bitcoin Price = $9693.62 --- Includes Sum of Forks, Core $8624.00 (88.97%) + Cash $1010.13 (10.42%) + Gold $59.49 (0.61%)",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"please give me
32yyeXCAqrxbKMvSDP9ymib64wJfB8GUbe

#Ripple
#Bitcoin
#help",Neutral
Detect the sentiment of the tweet.,New #bitcoin block 00000000000000000009fb95b43a4042b322c5468c7763368920718708ff65a0 mined at height 514745.,Positive
Detect the sentiment of the tweet.,"The current price of Bitcoin is $8666.39.
The current price of BCash is $1007.41, or 0.116903 BTC",Neutral
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,"""Bitcoin Core don't support creativity of people they don't know"" - @DanielKrawisz at @Satoshis_Vision #satoshisvision #BitcoinCash #bch",Neutral
Detect the sentiment of the tweet.,ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token #ROX #Robotinaico,Neutral
Detect the sentiment of the tweet.,"Bitcoin Cash BCH Current Price:
$1.010,820
1 Hour: -0.06 % | 24 Hours: -3.66 % | 7 Days: 8.95 %
#bch #bitcoin cash",Neutral
Detect the sentiment of the tweet.,@_Kevin_Pham Trumps retarded policies and actions are about to make bitcoin way more valuable...probably sooner than later.,Negative
Detect the sentiment of the tweet.,"@pwthornton Bitcoin fans: Fuck the FDIC and big government regulations!
Also Bitcoin fans: What the fuck just happened to my money?",Negative
Detect the sentiment of the tweet.,@twobitidiot Same. Gold is seen as a global currency and bitcoin is the new age version of it.,Positive
Detect the sentiment of the tweet.,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",Positive
Detect the sentiment of the tweet.,@ValoremF a great bonus to pursue. #AdVelorem #Bitcoin #Valorem #Ico,Positive
